building_id,rep_point,geohash
13103-bldg-24576,POINT (139.75092979225852 35.66932672228943),xn76uj7sbsq
13103-bldg-24567,POINT (139.75098287548278 35.66931024126205),xn76uj7sccm
13103-bldg-24521,POINT (139.75115211074407 35.66923869163112),xn76uj7smu5
13103-bldg-24625,POINT (139.75109734415764 35.66932041715779),xn76uj7sue6
13103-bldg-24589,POINT (139.7511995483509 35.66933873094381),xn76uj7syyx
13103-bldg-24662,POINT (139.7509203878025 35.669416743235494),xn76uj7t2mp
13103-bldg-24482,POINT (139.7515382475201 35.66917855257376),xn76uj7unbg
13103-bldg-24513,POINT (139.7515656623736 35.66923262561546),xn76uj7urdb
13103-bldg-24663,POINT (139.75124789388417 35.66943320224469),xn76uj7v807
13103-bldg-24689,POINT (139.75125829051518 35.66949637448197),xn76uj7vbk4
13103-bldg-24753,POINT (139.75106480996314 35.66956038330867),xn76uj7w5zf
13103-bldg-24785,POINT (139.75097586340075 35.66960380790814),xn76uj7w9b0
13103-bldg-24732,POINT (139.75128794483007 35.669548659111676),xn76uj7y1jc
13103-bldg-25239,POINT (139.75020950883555 35.6703641139873),xn76ujdfzvu
13103-bldg-25285,POINT (139.75001751169995 35.670426816830584),xn76ujdg73t
13103-bldg-25259,POINT (139.75011447210818 35.67039750768725),xn76ujdgjsn
13103-bldg-25402,POINT (139.75020922656384 35.67054358445558),xn76ujdgzzk
13103-bldg-25330,POINT (139.75055940515165 35.67034302938358),xn76uje6b1c
13103-bldg-25009,POINT (139.75120852121003 35.67002689577199),xn76uje8znv
13103-bldg-25175,POINT (139.75096266931862 35.670187693449925),xn76uje9cky
13103-bldg-24984,POINT (139.75126434692524 35.6699958611207),xn76ujebb3p
13103-bldg-24991,POINT (139.7513123820265 35.66998997076104),xn76ujebc85
13103-bldg-24974,POINT (139.7513565167429 35.66997199199459),xn76ujebdss
13103-bldg-25107,POINT (139.75132449013938 35.670170606484874),xn76ujecccs
13103-bldg-25093,POINT (139.75145563518393 35.670067464131584),xn76ujechyw
13103-bldg-25138,POINT (139.75121145208794 35.67020862945711),xn76ujedp2b
13101-bldg-23,POINT (139.75150196377547 35.670487227071284),xn76ujegwhb
