building_id,rep_point,geohash
13103-bldg-4836,POINT (139.7518587229597 35.667444628140345),xn76ujh1ymd
13103-bldg-1563,POINT (139.75207383584993 35.66721469188892),xn76ujh2e6e
13103-bldg-1227,POINT (139.75208380836872 35.66728158848492),xn76ujh2gx4
13103-bldg-9887,POINT (139.75218349168475 35.66719697697112),xn76ujh2mzk
13103-bldg-10874,POINT (139.75225667959342 35.667186646662564),xn76ujh2rt7
13103-bldg-5435,POINT (139.75217309430366 35.667343688748694),xn76ujh3mdv
13103-bldg-5626,POINT (139.75219375342695 35.667440444583534),xn76ujh3yhu
13103-bldg-1392,POINT (139.75162898457577 35.66767238674564),xn76ujh52bp
13103-bldg-4610,POINT (139.752040223785 35.667796285927366),xn76ujh7fx4
13103-bldg-4347,POINT (139.75222589002396 35.667779889557586),xn76ujh7yuh
13103-bldg-8272,POINT (139.75239641226725 35.66711595884579),xn76ujh84b7
13103-bldg-3709,POINT (139.7524585832135 35.66726149578295),xn76ujh8u73
13103-bldg-3166,POINT (139.7525312401376 35.66723254495437),xn76ujh8wn0
13103-bldg-10800,POINT (139.7523597156389 35.667379824432686),xn76ujh9d18
13103-bldg-5832,POINT (139.7525323495634 35.66736321429166),xn76ujh9qn2
13103-bldg-5077,POINT (139.75278445321635 35.667160326846954),xn76ujhb7bs
13103-bldg-356,POINT (139.75227412740963 35.667469699379936),xn76ujhd042
13103-bldg-8344,POINT (139.75257019570032 35.667626418555166),xn76ujhdyzm
13103-bldg-1265,POINT (139.75229335123484 35.66771747569274),xn76ujhe82q
13103-bldg-2822,POINT (139.75240568538905 35.6677307787718),xn76ujhee4f
13103-bldg-9428,POINT (139.7524546740169 35.667661077214916),xn76ujhehjz
13103-bldg-10938,POINT (139.75266819136152 35.667597860239994),xn76ujhfc4n
13103-bldg-7374,POINT (139.75269045283088 35.6676734536211),xn76ujhg38n
13103-bldg-2235,POINT (139.75268453904638 35.66778948122833),xn76ujhgctf
13103-bldg-7668,POINT (139.75278597099023 35.6677596418132),xn76ujhggbq
13103-bldg-5234,POINT (139.75167891891542 35.66794518272347),xn76ujhhf4u
13103-bldg-4140,POINT (139.75170323552547 35.668117633083256),xn76ujhjfen
13103-bldg-7489,POINT (139.75178398493355 35.6679851230795),xn76ujhjhd6
13103-bldg-8372,POINT (139.75181847985425 35.668045160660704),xn76ujhjmms
13103-bldg-81,POINT (139.75184304927168 35.668106593301545),xn76ujhjvby
13103-bldg-6059,POINT (139.75200477150932 35.667912840218705),xn76ujhk9sz
13103-bldg-7757,POINT (139.75215715064172 35.667810187512266),xn76ujhkj39
13103-bldg-6795,POINT (139.7522583127864 35.66795660957011),xn76ujhkzth
13103-bldg-2388,POINT (139.7520330260694 35.668070526495434),xn76ujhmd6k
13103-bldg-1586,POINT (139.75205767794753 35.66812617870876),xn76ujhmfux
13103-bldg-5846,POINT (139.7521410106398 35.66805056216746),xn76ujhmkyt
13103-bldg-4499,POINT (139.75217200027427 35.668124543502365),xn76ujhmvsk
13103-bldg-3753,POINT (139.75158953461974 35.66822932592614),xn76ujhn2pc
13103-bldg-2409,POINT (139.75189496928962 35.668188847671324),xn76ujhnr0m
13103-bldg-11251,POINT (139.75177746919152 35.66823118959502),xn76ujhns2n
13103-bldg-1648,POINT (139.7516574656518 35.66841364945918),xn76ujhp9dh
13103-bldg-9761,POINT (139.7516811047799 35.668455259929104),xn76ujhpf1y
13103-bldg-5105,POINT (139.75180597986895 35.66832021852035),xn76ujhpj0g
13103-bldg-11562,POINT (139.75186127071618 35.66839043002881),xn76ujhpqmu
13103-bldg-104,POINT (139.75190442364843 35.66848151698014),xn76ujhpzqu
13103-bldg-2666,POINT (139.75209562979902 35.6682027791285),xn76ujhq7fg
13103-bldg-10391,POINT (139.75194237467747 35.668277825397205),xn76ujhqb2c
13103-bldg-4114,POINT (139.75219960104315 35.668190988361985),xn76ujhqq28
13103-bldg-6878,POINT (139.75223218216848 35.66823655858551),xn76ujhqx11
13103-bldg-3621,POINT (139.75195913895033 35.66833255092954),xn76ujhr0ej
13103-bldg-3731,POINT (139.75197969510285 35.66837650677568),xn76ujhr35k
13103-bldg-4575,POINT (139.75201451564007 35.668441474098984),xn76ujhr9zq
13103-bldg-3869,POINT (139.75227008072054 35.66841459201213),xn76ujhrxfm
13103-bldg-1009,POINT (139.75234433321685 35.66792899528846),xn76ujhs9xu
13103-bldg-1966,POINT (139.75256138190196 35.66808586343613),xn76ujhtwtn
13103-bldg-7441,POINT (139.7527134052445 35.667838277146565),xn76ujhu4nz
13103-bldg-11281,POINT (139.7528047565504 35.66780276729146),xn76ujhuh2k
13103-bldg-10128,POINT (139.7528218269199 35.66784776211552),xn76ujhukb8
13103-bldg-997,POINT (139.75281154370637 35.667945032634975),xn76ujhuudc
13103-bldg-2246,POINT (139.7528070931331 35.66806905788886),xn76ujhvs3v
13103-bldg-6857,POINT (139.7528376592173 35.66813368865283),xn76ujhvvnh
13103-bldg-2892,POINT (139.7529232856617 35.66806748528134),xn76ujhvx1s
13103-bldg-887,POINT (139.75245297888742 35.66828714253584),xn76ujhwu4t
13103-bldg-11298,POINT (139.7523710465921 35.66844640062199),xn76ujhxf22
13103-bldg-10884,POINT (139.7528643294061 35.66818372732896),xn76ujhyjz2
13103-bldg-7831,POINT (139.75289163637544 35.668236196293904),xn76ujhyw3h
13103-bldg-7011,POINT (139.75291888248418 35.668282886752785),xn76ujhyz1c
13103-bldg-5423,POINT (139.75274543397865 35.668334150663696),xn76ujhz4gr
13103-bldg-5900,POINT (139.752809065361 35.66848589310741),xn76ujhzurx
13103-bldg-5429,POINT (139.75285781409536 35.66846818062381),xn76ujhzvs7
13103-bldg-2527,POINT (139.75298415419064 35.66716506290787),xn76ujj0293
